I,XL,XU,XR,F(XR),ERROR
0,-5.0,2.0,-1.5,-2.0,1.0
1,-1.5,2.0,0.25,1.5,7.0
2,-1.5,0.25,-0.625,-0.25,1.4
3,-0.625,0.25,-0.1875,0.625,2.3333333333333335
4,-0.625,-0.1875,-0.40625,0.1875,0.5384615384615384
5,-0.625,-0.40625,-0.515625,-0.03125,0.21212121212121213
6,-0.515625,-0.40625,-0.4609375,0.078125,0.11864406779661017
7,-0.515625,-0.4609375,-0.48828125,0.0234375,0.056
8,-0.515625,-0.48828125,-0.501953125,-0.00390625,0.027237354085603113
9,-0.501953125,-0.48828125,-0.4951171875,0.009765625,0.013806706114398421
10,-0.501953125,-0.4951171875,-0.49853515625,0.0029296875,0.0068560235063663075
