I,XL,XU,XR,F(XR),ERROR
0,-4.0,3.0,-0.5,-1.625,1.0
1,-0.5,3.0,1.25,-1.296875,1.4
2,1.25,3.0,2.125,5.470703125,0.4117647058823529
3,1.25,2.125,1.6875,1.117919921875,0.25925925925925924
4,1.25,1.6875,1.46875,-0.300323486328125,0.14893617021276595
5,1.46875,1.6875,1.578125,0.3521614074707031,0.06930693069306931
6,1.46875,1.578125,1.5234375,0.012250423431396484,0.035897435897435895
7,1.46875,1.5234375,1.49609375,-0.14739233255386353,0.018276762402088774
8,1.49609375,1.5234375,1.509765625,-0.06841757148504257,0.009055627425614488
9,1.509765625,1.5234375,1.5166015625,-0.028296186588704586,0.004507405022537025
10,1.5166015625,1.5234375,1.52001953125,-0.008076154510490596,0.0022486347574686796
11,1.52001953125,1.5234375,1.521728515625,0.0020738012535730377,0.0011230547088079577
12,1.52001953125,1.521728515625,1.5208740234375,-0.0030045080584386596,0.0005618428445300586
13,1.5208740234375,1.521728515625,1.52130126953125,-0.0004661864938952931,0.0002808425275827482
14,1.52130126953125,1.521728515625,1.521514892578125,0.0008035990777273128,0.00014040154842850553
15,1.52130126953125,1.521514892578125,1.5214080810546875,0.00016865422004386232,7.020570270893719e-05
16,1.52130126953125,1.5214080810546875,1.5213546752929688,-0.00014877915443678447,3.5104083607897415e-05
17,1.5213546752929688,1.5214080810546875,1.5213813781738281,9.934278368817218e-06,1.7551733735184456e-05
18,1.5213546752929688,1.5213813781738281,1.5213680267333984,-6.942325163583618e-05,8.775943884107392e-06
19,1.5213680267333984,1.5213813781738281,1.5213747024536133,-2.9744690034583243e-05,4.387952687840419e-06
20,1.5213747024536133,1.5213813781738281,1.5213780403137207,-9.905256683317987e-06,2.1939715303985726e-06
21,1.5213780403137207,1.5213813781738281,1.5213797092437744,1.4498129807805071e-08,1.0969845618228373e-06
22,1.5213780403137207,1.5213797092437744,1.5213788747787476,-4.945382455101566e-06,5.484925817553659e-07
